distance,force_median,L2012_lambda,L2012_f0,L2012_delta,L2012_L,CR2020_density,CR2020_ssa
370.5,0.4195851368131116,1635.6421487428715,0.012543416054009451,0.041125682,0.2289710270837173,258.63661206940384,31.109075039260407
371,0.4276670335093513,1719.4579575593334,0.011184787091144422,0.04479631,0.22518844892958206,259.3729460685222,31.348417940031666
371.5,0.44383082690183073,1382.8540910167183,0.016640188403247533,0.038493374,0.24215002063868196,262.8212642515557,29.864812853491475
372,0.4579741461202502,1092.6630717061273,0.014821187251807944,0.056446951,0.26192756655249005,266.1340050869319,28.292845579115795
372.5,0.4620150944683701,465.7769787688933,0.025405947461777094,0.081135757,0.34803048775789475,273.53409586643807,22.985531252876235
373,0.5051185435149819,460.77742698395684,0.024707916,0.092920189,0.34928470210157503,278.09575770703594,22.59231009315546
373.5,0.49636315542738885,253.31339262322973,0.031072797,0.13440412868888346,0.4263738681383032,283.1848676139173,18.95489981370381
374,0.46134160307701677,338.49792731205235,0.027487713,0.104719861,0.38710129609228305,276.6070520436719,21.016154698025268
374.5,0.46807651699054986,967.4275890730759,0.014971494146254939,0.065316064,0.27277452438564403,268.17414495578464,27.459868835955593
375,0.47481143090408295,745.8670432891353,0.019051588,0.066576545,0.297478893,270.8943048776121,25.798472174304873
375.5,0.41689117124769837,931.0092696135648,0.015870982443932057,0.058597787,0.27628584062406036,262.29788558115285,27.64633017212636
376,0.4195851368131116,1496.4259000977352,0.010961269440616511,0.052028433452925855,0.2358621345397317,259.2197287428029,30.558734246204253
376.5,0.464035569,1464.0272574095493,0.012098062704220132,0.052779694,0.23758931705367037,264.8875923933129,30.05477461
377,0.5105064746458083,1032.441992895083,0.015607240469826453,0.064171842,0.26692427790741224,272.3549980268125,27.544675470725785
377.5,0.5387931130826473,842.7559159463269,0.016333047281980637,0.079179457,0.28561172138319824,276.62330889770766,26.091374906684276
378,0.5583243634318933,742.6020552750305,0.020793607900773153,0.073812727,0.29791422982855065,279.3912615488836,25.178329156523304
378.5,0.5226293196901679,394.7799023349893,0.031314643,0.085373628,0.3677547449587761,281.18778130453086,21.511203289546007
379,0.5374461302999407,920.6933195274164,0.022435178403321984,0.051490426,0.2773138962462307,275.8778310887382,26.647744682132437
379.5,0.5852640190860257,1291.7114012603079,0.013959358909807132,0.064091677,0.24771642233643468,278.3265096718448,28.430568699469564
380,0.5522629409097135,621.9414855539594,0.019750771,0.088328466,0.31605314852131244,280.1407188382588,24.121296595798313
380.5,0.5125269488198683,772.6987810235843,0.017371033886678024,0.076754372,0.2939949615833199,274.62328784651794,25.73736684012002
381,0.4862607845570892,745.9876561484358,0.017227762,0.077890944,0.2974628602603924,272.1380026986881,25.712264478450898
381.5,0.49568966403603554,445.61596563959085,0.023793819124240327,0.095171127,0.35320191468487094,277.45666061883344,22.45428475048716
382,0.5845905276946723,370.21611453516846,0.029453971442651536,0.10440504951536263,0.3757147027240843,287.26108414794425,20.703699265164886
382.5,0.5980603555217385,434.1157644953801,0.026810234215629013,0.10205515074361601,0.3562936735586996,287.0283002936644,21.605392083639114
383,0.5125269488198683,335.80953478244527,0.028527140580238898,0.10913639907648279,0.3881315580755165,281.7753125462638,20.581738123642708
383.5,0.4842403103830293,704.6464886167873,0.015248890800273146,0.09015943,0.3031699829449487,272.36804223637836,25.37478466087579
384,0.4929956984706223,660.8445064587867,0.016249229434344918,0.092169124,0.3097254329143754,273.80894617046954,24.91215469645004
384.5,0.5259967766469344,572.6688419463846,0.019754656,0.094869306,0.324869379,278.2937049525053,23.78900785691352
